,id,text_pl,score
0,0,"[name], nie wiedziałem, że teraz na Ciebie zrzucili pilnowanie kwitów w projekcie. Potrzebuję szybko zestawienia ryzyk i mitygantów. Daj znać na kiedy możesz mi to dostarczyć. Sprawa gardłowa.",15.0
1,1,"[name], daj znać w ciągu godziny co dalej z importem tej aplikacji na testy. [name] wydzwania od rana, że ma ekipę tylko na 2 dni, więc chce natychmiast zacząć.",15.0
2,5,"[name], mieliśmy w jednym miejscu zapisywać dane [OrgName]. Wczoraj je zapisałam w folderze [OrgName], a dzisiaj ich tam nie ma. Napisz do 10 gdzie je mogę znaleźć. Temat pilny.",15.0
3,6,"[name], gdzie jest dokument, który napisałeś wczoraj do [name]. [name] go od Ciebie nie dostała, a poprosiła mnie o recenzję. Wyślij mi go proszę najpóźniej dzisiaj do 12.",15.0
4,7,"[name], przygotuj propozycję listu referencyjnego, który mogliby podpisać w [place name]. Umówiłem się z prezesem, że jak dostanie to do jutra, to da radę nam to podesłać. Później znika na wakacje, a my bez tego kwitu nie mamy co wysyłać oferty dla [OrgName].",180.0
5,9,"Witaj [name]. Przepraszam, że Cię niepokoję, ale potrzebuję to zestawienie kosztów, o którym rozmawialiśmy w ubiegłym tygodniu. Praktycznie na już. Daj znać, gdy będziesz gotowa.",60.0
6,10,"[name], czekam od piątku na Twoją notatkę. Wyślij ją najpóźniej dziś do południa. Jak się spóźnisz, będzie niezły kwas.",60.0
7,12,"Cześć, [name], wyślij mi proszę jakie zadania realizował w tym tygodniu [name]. Niestety chłopak się pochorował i nie będzie go w pracy dwa tygodnie. Potrzebuje tych info dzisiaj do 12.",60.0
8,13,"[name], przesyłam do weryfikacji wzór NDA z [place name]. Robimy tam projekt Data Governance jako podwykonawca [OrgName]. Dacie radę na to spojrzeć i przesłać uwagi (lub potwierdzenie, że możemy podpisać ten dokument) dziś do końca dnia? Pozdrawiam, [name]",60.0
9,14,"[name], czy możesz zrobić screen z prezentacji, którą wczoraj oglądaliśmy na spotkaniu wewnętrznym. Chodzi o 2 i 9 slajd. Prześlij to do [name] jeszcze dziś.",30.0
10,15,"Hej [name]. Potrzebuję zwiększyć dwukrotnie wielkość dozwolonego pliku na środowisku produkcyjnym. Rozumiem, że musisz zrestartować środowisko. Zrób to dziś do 17:00.",60.0
11,16,"Możesz, [name], sprawdzić co dzieje się z fakturami dla [name] z grudnia i stycznia? Nie wpłynęły płatności i siada nam płynność. Wyślij im dziś monit i dopilnuj, aby zapłacili do końca tygodnia.",60.0
12,17,"[name], niedopuszczalne są kolejne opóźnienia w tym projekcie. Daj mi na jutro plan działań niezbędnych, abyśmy skończyli projekt w czasie i budżecie. Pogadajmy o tym pod koniec dnia.",120.0
13,18,"W DPIA dla [OrgName] nie są wczytywane dane z wstępnej oceny projektu, po wybraniu przycisku. Mogłabyś to poprawić ASAP?",60.0
14,19,"[name], od dwóch dni czekam na raport od Luizy. Możesz zapytać się co się z nim dzieje?",15.0
15,20,"[name], zamrażamy od dziś deal z [place name]. Dopóki nie zapłacą za faktury, nie ruszamy z żadnymi pracami. Proszę o przekazanie tego całemu zespołowi. Jeśli klient będzie chciał dostać coś jeszcze, przekierujcie go wprost do mnie, nie podejmując żadnych rozmów, a tym bardziej zobowiązań.",15.0
16,21,"Waleria, kiedy wreszcie przygotujesz ten projekt. Wszystko jest w proszku, a za dwa dni mamy kick-off. Czekam na status do jutra",15.0
17,23,"Czy Ty wiesz, [name], kiedy mieliśmy zamknąć analizę biznesową? Wciąż nie ma podpisu klienta, a teraz zgłaszają nam wciąż nowe oczekiwania i liczą, że zrobimy je w pierwotnej cenie. Załatw sprawę jak najszybciej.",60.0
18,26,"Kordian, słyszałem, że introligator znów wysłał całą stertę niedorzecznych wymagań do systemu. Zbierz mi to do końca dnia i zaproponuj odpowiedź na każdy punkt. Ma być dyplomatycznie, ale gównie odmownie.",120.0
19,27,"Hej, czy mógłbyś przeczytać cały załączony dokument i przesłać mi do niego uwagi? Potrzebowałbym tego do południa, jeżeli dasz radę. Pozdrwiam, [name]",120.0
20,28,"[name], [OrgName] przysłało kolejny problem z raportem z [product name]. Sytuacja robi się nieciekawa. Sprawdź o co chodzi i popraw to na cito.",60.0
21,29,"[name], może pogadamy o tych zmianach o 15? Te proste i szybkie są na dzisiaj, aby widzieli je już jutro od rana. Pozostałe możemy dokończyć do piątku.",60.0
22,30,"[name], robiłaś notatki na wczorajszym spotkaniu. Możesz mi je podesłać dzisiaj do 16?",15.0
23,33,przycisk 'wczytaj dane z poprzedniej umowy' wpisuje też dane kontrahenta więc musi być przed sekcją „dane kontrahenta”. Popraw to koniecznie jeszcze dziś.,60.0
24,34,Hej. Wszystko się zgadza. Jutro powinny przyjść wyniki testów z [OrgName]. W temacie [product name] nic się nie dzieje. Zadzwoń jeszcze dziś do ich bezpiecznika i prześlij mi info co ustaliłaś.,30.0
25,35,"[name], popraw proszę na 10 stronie slajd z raportem. Poprawiony dokument prześlij do Zosi jeszcze dzisiaj do 15:30.",60.0
26,36,"[name], podeślij notatkę z dzisiejszego spotkania. Dorzucę swoje 3 grosze i najpóźniej jutro trzeba będzie wysłać ją do klienta. Nie zapomnij o zaproponowaniu dat dla zadań. Bez tego nie zmobilizujemy ludzi po ich stronie.",30.0
27,37,"Jakich danych potrzebujesz od [name], aby skończyć ten raport na kolejną środę? Daj szybko znać, bo on wybiera się na urlop i za dwa dni będzie zniknięty.",30.0
28,39,"[name], Twój raport trzeba jeszcze uzupełnić o prognozy na kolejne trzy kwartały. Porozmawiajmy dziś po 16:00 o założeniach. [geogr name].",60.0
29,40,"[name], kiedy będziemy mogli zająć się tym błędem aplikacji delegacyjnej dla [OrgName]? Proponuję, abyś zabukował sobie czas jutro międzu 12 a 14.",120.0
30,41,"[name], daj znać do Pol-Nordu, że nie zapłacili jeszcze faktury za luty i marzec. Jeśli nie uregulują zadłużenia do końca tygodnia, to odetniemy im dostęp do aplikacji w chmurze.",30.0
31,43,"[name], kiedy [OrgName] ma przesłać Twoje poświadczenie [product name]? Wiem, że nie wszystko od Ciebie zależy, ale zwlekałeś z przesłaniem wniosku, a teraz mamy spięcie na linii z ministerstwem. Jakiś audytor ciśnie ich o pokazanie kwitów, a my dajemy ciała. Załatw sprawę do poniedziałku.",60.0
32,44,"Panowie, Moglibyście proszę wystawić jakieś demo [product name] dla następującego użytkownika: [email address] Koniecznie muszą tam być jakieś gotowe procesy i aplikacje oraz jakieś zadania do wykonania dla tego użytkownika. To jest UX ekspert z firmy [OrgName], który ma wstępnie rozejrzeć się po platformie przed spotkaniem, na którym mamy uzgodnić warunki audytu UI/UX, który być może wykona dla nas firma [OrgName]. Tylko to demo powinno być gotowe najpóźniej na jutro. Dzięki, [name]",120.0
33,45,"Dzień Dobry, Proszę o pilny kontakt. Chciałabym porozmawiać o narzędziu. Pozdrawiam,",60.0
34,46,"Dzień dobry, Czy byłaby możliwość przeniesienia jutrzejszego spotkania na wcześniejszą lub późniejszą godzinę? Np. 9:30 – 10:30 lub 15:00 – 16:00",15.0
35,47,"Czesław, zostawiłem w biurze wstępną wersję raportu z audytu. Znajdź jakiegoś gońca, aby podrzucił mi te materiały do [OrgName]. Będę tu do 16-tej. Wszystko leży w szafie przy oknie.",60.0
36,48,"[name], czekam na rozliczenie kosztów projektu do jutra. Nie zapomnij o mandaysach analityków. Słyszałem, że przepalili mnóstwo czasu na spotkaniach z działem projektowym. To wszystko powoli przestaje się spinać.",120.0
37,49,Prośba o informacje czy możemy wprowadzić taką zmianę. Jeżeli otrzymamy ją jeszcze dzisiaj to wprowadzimy tą zmianę jeszcze przed jutrzejszym spotkaniem,30.0
38,50,"[name], czy przygotowałaś prezentację na spotkanie [OrgName]? Spotkanie jest już jutro o 12. Prześlij je do mnie dzisiaj do 17. Chciałbym na nie popatrzeć przed prezentacją.",30.0
39,51,"[name], nie ma w tym tygodniu developerów, bo się szkolą. Potrzebuje jednak kopii [product name]  dla [OrgName], bo ich PM się ożywił. Wyciągnij kopię z archiwum i podeślij do końca dnia.",60.0
40,52,"[name], prześlij mi grafik [name]. Nie mogę go złapać, a jutro mamy spotkanie z [Bank Name]. Miało się odbyć o 13, a zostało przełożone na 15.",15.0
41,55,"Cześć, [name]. Witamy na pokładzie. Pierwsze dni będą czasem zapoznawania się z naszymi procedurami. Masz do zaliczenia 4 podstawowe kursy internetowe. Do tego szkolenie BHP jeszcze dziś o 1500. Dołączysz do zespołu projektowego jeszcze w kwietniu. Powodzenia.",7200.0
42,57,Witaj [name]. Podesłałem Ci propozycję aneksu dla [OrgName]. Potrzebuję Twoich poprawek na jutro. Wysyłam końcową wersję około 11.,120.0
